virus_name	Type
Aedes aegypti densovirus 	Insect-specific
Aino virus 	Arbovirus
Akabane virus 	Arbovirus
American dog tick phlebovirus	Insect-specific
Anopheles annulipes orbivirus 	Insect-specific
Anopheles C virus 	Insect-specific
Anopheles cypovirus 	Insect-specific
Anopheles flavivirus 	Insect-specific
Anopheles flavivirus-like 1	Insect-specific
Anopheles flavivirus-like 2	Insect-specific
Anopheles gambiae flavivirus 	Insect-specific
Anopheles hinesorum orbivirus 	Insect-specific
Anopheles marajoara virus 	Insect-specific
Anopheles minimus iridovirus 	Insect-specific
Anopheles totivirus 	Insect-specific
Anopheles triannulatus orthophasmavirus 	Insect-specific
Anopheles-associated flavivirus 	Insect-specific
Anopheline-associated C virus 	Insect-specific
Arumateua virus 	Arbovirus
Australian Anopheles totivirus 	Insect-specific
Bangui virus 	Arbovirus
Banna virus 	Arbovirus
Barmah Forest virus 	Arbovirus
Batai virus 	Arbovirus
Beaumont virus	Insect-specific
Beihai mantis shrimp virus 6	Insect-specific
Bivens arm virus 	Insect-specific
Bluetongue virus 	Arbovirus
Bolahun virus variant 1 	Insect-specific
Bolahun virus variant 2 	Insect-specific
Boraceia virus 	Arbovirus
Bovine fever ephemerovirus 	Arbovirus
Bozo virus 	Arbovirus
Bunyamwera virus 	Arbovirus
Bwamba virus 	Arbovirus
Cache Valley virus 	Arbovirus
Calovo virus 	Arbovirus
Caraipé virus 	Insect-specific
Castlerea virus 	Insect-specific
Cerrado partiti-like-virus M1	Insect-specific
Chapada dielmovirus	Insect-specific
Chikungunya virus 	Arbovirus
Coloiado orthomyxo-like virus	Insect-specific
Coot Bay virus 	Insect-specific
Coxipo dielmovirus	Insect-specific
Culex Bunyavirus 1	Insect-specific
Culex flavivirus 	Insect-specific
Culex pipiens pallens densovirus 	Insect-specific
Culex pipiens-associated Tunisia virus 	Insect-specific
Culex tritaeniorhynchus rhabdovirus	Insect-specific
Daeseongdong virus 1	Insect-specific
Dairy Swamp virus 	Insect-specific
Dianke virus 	Insect-specific
Eastern equine encephalitis virus 	Arbovirus
Eilat virus 	Insect-specific
Epizootic hemorrhagic disease virus 	Arbovirus
Eubenangee virus 	Arbovirus
Gambie virus 	Insect-specific
Germiston virus 	Arbovirus
Getah virus 	Arbovirus
Golok virus 	Insect-specific
Haslams Creek virus 	Insect-specific
Homalodisca vitripennis reovirus segment S3	Insect-specific
Hubei mosquito virus 2 	Insect-specific
Iguape virus 	Arbovirus
Ilheus virus 	Arbovirus
Ixodes scapularis associated virus 2	Insect-specific
Jamestown Canyon virus 	Arbovirus
Japanese encephalitis virus 	Arbovirus
Jaracatia flavivirus	Insect-specific
Jurona virus	Arbovirus
Kadipiro virus 	Arbovirus
Kampung Karu virus 	Insect-specific
Karumba virus 	Insect-specific
Las Maloyas virus 	Arbovirus
Leanyer virus 	Insect-specific
Liao ning virus 	Arbovirus
Long Pine Key virus 	Insect-specific
Loreto virus 	Insect-specific
Mac Peak virus 	Insect-specific
Mapputta virus 	Arbovirus
Middelburg virus 	Arbovirus
Mosquito flavivirus	Insect-specific
Mosquito X virus 	Insect-specific
Mujica picorna-like virus	Insect-specific
Murrumbidgee virus 	Insect-specific
Nam Dinh virus 	Insect-specific
Negev virus 	Insect-specific
Ngari virus 	Arbovirus
Nienokoue virus 	Insect-specific
Nyando virus 	Arbovirus
Onyong-nyong virus virus 	Arbovirus
Oak-Vale virus 	Insect-specific
Omono River virus	Insect-specific
Orbivirus-like sequences	Insect-specific
Orungo virus 	Arbovirus
Peruvian horse sickness virus 	Arbovirus
Planococcus citri densovirus	Insect-specific
Potosi virus 	Arbovirus
Puerto Almendras virus 	Insect-specific
Purunga orbivirus	Insect-specific
Quang Binh virus 	Insect-specific
Rift Valley fever virus 	Arbovirus
Rio Chico virus 	Insect-specific
Ross River virus 	Arbovirus
Sagiyama virus 	Arbovirus
Saint Louis encephalitis virus 	Arbovirus
Sindbis virus 	Arbovirus
Stratford virus 	Arbovirus
Sunn-hemp mosaic virus	Insect-specific
Tahyna virus 	Arbovirus
Tanay virus 	Insect-specific
Tataguine virus 	Arbovirus
Tensaw virus 	Arbovirus
Tibet orbivirus 	Insect-specific
Tucuruí virus 	Arbovirus
Usutu virus 	Arbovirus
Venezuelan equine encephalitis virus 	Arbovirus
Wallal virus 	Arbovirus
Warrego virus 	Arbovirus
Wesselsbron virus 	Arbovirus
West Nile virus 	Arbovirus
Western equine encephalitis virus 	Arbovirus
Wuhan fly virus 1	Insect-specific
Wuhan mosquito virus 1	Insect-specific
Wuhan mosquito virus 6	Insect-specific
Wuhan mosquito virus 9	Insect-specific
Wuhan spider virus	Insect-specific
Wutai mosquito phasivirus	Insect-specific
Xincheng mosquito virus	Insect-specific
Xinzhou mosquito virus	Insect-specific
Yada yada virus 	Arbovirus
Yellow fever virus 	Arbovirus
Yunnan Culex flavivirus 	Insect-specific
Yunnan orbivirus 	Insect-specific
Zika virus 	Arbovirus
Phasi Charoen-like virus	Insect-specific